class,uuid,image-0,image-1,image-2,image-3,image-4,image-5,image-6,image-7,example_im_0,example_im_1,example_im_2,example_im_3,example_im_4
alarm_clock,11c3cae252b44da89b34143583490618,9fb1d9c4-742e-4cc3-bf5a-716b0879e550,bf0642c3-d4e0-40da-b347-677a9bb456df,709b1183-6e9c-435e-9c21-e9e9e25a2636,c7e66b44-a4c7-4ad3-b0a6-41d4cd6b4f4f,b7c53d68-b200-4f17-89d2-69dab77c09d8,223dd5be-ae2e-4f5c-be4f-c4b2a0fb8710,0266694a-3a15-4657-a2a2-a131e130e2e7,8695eaee-44d8-49fc-8623-8bbb44a51767,76a0b8a4f0cf473.png,3b6f1e514ee3452.png,2eaba0e3c7e2486.png,ed9aa4bc5ca14f3.png,abdfed950321436.png
alarm_clock,15c626a3aab443998123f10dc0d38a65,caab1694-22b4-47c7-81a8-83fffef384ea,f6032609-1753-4e9a-a20b-c75e1c9f0d00,b52e24ea-1900-454d-b67d-1487584fb3a4,39b73ce2-98ae-473e-97a8-f086f9d43f93,a9a4e355-fc39-4094-bb8c-b3e49aa95dc8,dd398d7a-d53d-48f0-86bf-2b768fe6bf16,855b5494-f0ed-4e18-9cad-a3e005e1536b,166bed67-c398-421c-8e04-7be3cf680148,3c39b3a849a0409.png,a813a2917dd545e.png,9f4a0781bd9749e.png,4e008ec1246c45e.png,e0c542a146cb408.png
alarm_clock,192ada1a16194e3c9b84949c1dedce5d,c4b6c7f4-c825-47e7-a775-a63740c89424,8f19be85-b4f2-4880-8e76-1b7843487abd,caa48cf2-d671-4692-8946-8409cb95de3e,de3de06f-4518-44c9-853c-6ce192f1d91c,85ee4660-22cf-44de-8c1a-d7f95a750c01,fc3b3d1b-3fe7-460b-8853-7a2cbf01f714,9851fa9e-f0d0-4e9f-aeb5-556a5774957c,e185798a-e324-4d17-b14b-fbcb6d3ccaa0,1083ad3a855c4d9.png,0ae4f06a5e83435.png,d592fdb33713450.png,c2552cf6893e4a2.png,39a40cce28ae4be.png
alarm_clock,19a0c55a59ad42a398d9bc83895a1ef4,f8b09263-8405-4066-8277-01cc8cb7cda4,7db20fcb-863b-4a58-9c33-b8781dcb9064,6ebad395-4834-411f-b097-4ed094d1a843,35ad1ca7-616b-46c6-b76d-19418f301a31,40ad4d26-3e82-40e3-8593-74cde23de025,749b5e5c-21cc-4470-984a-3fb8bd7da382,2b589e8e-5960-496b-9096-ff7cdb7921da,ee9daee9-276d-4e5c-816a-b9e873bc1ab1,8372559b7aba40c.png,7b0be1f94277480.png,d15e047a5e344f6.png,c8a5cca3b9544a1.png,307823155744468.png
alarm_clock,19f68e57f79c40658b1c6bbe434a0386,69c71d09-16fa-4183-afc4-7abd16303465,3a89b520-bc80-44f0-8f6c-cc247a622647,176bb554-08e7-4f00-825b-584e40d88ec5,e7dd1684-51c1-4d51-bf2b-aea301c74caa,f3e7dc37-9a57-4a87-a855-a9bb6b5bd7f8,af00dc16-72e3-40dc-9016-f70c9e8261aa,48aab74c-a2af-4217-a9ae-f4a3b32452c3,bc8ff34e-1f26-4650-aab0-e64148f35d6d,0e40b0d8c5874c8.png,0ab390d15ad8445.png,1ba01fe5c8c443d.png,307823155744468.png,f62c91f6521e475.png
alarm_clock,489266e9e2c44b5fbba13b2d933956f8,15f8eb92-a52a-4836-b9cf-9e30c01744a0,7f65246a-45a3-466d-b248-09c02e5ebd60,f553d06c-6981-4b4c-88e3-2ef39474ab85,dcb980b3-4250-4e4c-94a3-bcf8905fdee2,422cd9ec-2b09-4fe4-ace9-8b94de823364,f28935e0-9b64-4ad7-adaf-e981ca1bd3be,f61a4112-0458-4282-8273-02574dbd8e5c,f00b113b-5fb1-4488-9a7e-af47c651bda8,fb05a45c2c70497.png,6b1cf10eb29f4cf.png,bb03e352a9aa452.png,dfc4cb8445cd41e.png,df7dc6973ecb484.png
alarm_clock,53571b47e4f64c8381a3a2232d9dc492,ba82c9f6-a4bb-40c0-8498-7927891b2326,09367328-2a51-42f6-a595-5ab356babcf3,8a596b7d-3165-4c70-9250-64a6daf877e3,963b9dd3-ff20-4c2c-9f03-ae468549c9a8,202cadc8-ef27-4f03-a067-3f9a1f7bf5c1,efe20674-ef64-4382-b15a-9ca59cc9df9b,186051ad-48c5-46ad-b59c-f870c7484855,c3a6325f-5f2d-4955-8ae6-7849ba1b24ef,8912c89768294ed.png,0584ed6eaffb4c1.png,c8a5cca3b9544a1.png,5ea9e8414b0d42b.png,069d2e7a1a6c47d.png
alarm_clock,5b9f9de219384b3e9edf190789128987,44d2cdc8-8d7b-42ad-a699-6882a10805cd,f7edd203-4823-4f4e-af15-e3bb572fc3b2,8ab0bcee-7513-44ec-8507-06f862ed859f,4e64a162-669b-4916-a466-7bd63089bd55,910c85e1-66f0-4039-a829-ab0a46c247ec,6ba7ffd2-9316-4171-a565-5f0c1f5317b8,876d996e-d417-4516-b8ca-f3288f2699b5,5b7ab2a7-28d7-430c-b741-c7992331350b,165a66505fe9405.png,fdd9a1de738748c.png,44fdb2d3bcc4488.png,88b0794c2fd343b.png,266f4fd8b78e419.png
alarm_clock,6575ba56940b4816a17d4dabbf2ed25b,4ea86c9b-f35a-43e7-a1f6-77ee8b1e765e,1efbfc83-f247-4be6-b062-16ddf36dea83,7c263038-b6ce-42d5-95fc-50a5614e11c5,3c0af785-ef87-4ec8-9c0c-c49f7b456217,0b327c07-04fa-40b6-8644-b4638e991f7e,76facf72-a654-4edc-b365-3221f20aa76f,c74f8783-cda2-4129-b05e-4419c74f1b45,eb52d7c9-3357-4fd0-b109-9ea49347bfd5,d0aab963550e4ab.png,06ddec23fb2e4fe.png,753a4359cad54ba.png,7b0be1f94277480.png,4e327a509383445.png
alarm_clock,73c023c90f8d45fb88294bccade836c0,fa7cd672-e6f0-4fea-b1d5-850bead9d995,7e6e4379-1e1d-4943-a9e1-fb79cf095b29,36649020-45b2-4f96-9144-407ad6bebae1,7c8318a6-a25f-4993-84ac-1de98a5c2631,4336daf5-8235-4840-a2ff-bb6560da0578,e3886fc3-05a8-40fd-9fa9-7528505224e0,7ea0cd1a-7416-4962-89f4-ed4f4e82c384,e41fd00a-326b-482d-b7cf-856c401a0f81,e52fd509ff2e483.png,8372559b7aba40c.png,573ef73676a346e.png,43f118153141485.png,852ba88392dc49b.png
